Segment,Employment_Type,State,Decision,Loan_Amount,Monthly_Salary,Score
First,Self_Employed,Kuala Lumpur,Accept,439540.3153526971,7947.715767634855,7.479253112033195
Second,employee,Kuala Lumpur,Accept,584571.4137931034,7841.576064908722,7.531440162271806
Third,employee,Kuala Lumpur,Accept,730592.6609808102,7740.761194029851,7.537313432835821
Fourth,Self_Employed,Kuala Lumpur,Accept,165907.6812227074,8350.32751091703,7.495633187772926
Fifth,Self_Employed,Kuala Lumpur,Accept,301198.59151785716,7997.167410714285,7.435267857142857
